"|","|__Title","|__Year","|__Rated","|__Released","|__Runtime","|__Genre","|__Director","|__Writer","|__Actors","|__Plot","|__Language","|__Country","|__Awards","|__Poster","|__Ratings__Source","|__Ratings__Value","|__Metascore","|__imdbRating","|__imdbVotes","|__imdbID","|__Type","|__DVD","|__BoxOffice","|__Production","|__Website","|__Response","|__Error","|__totalSeasons"
"433","Untamed Heart","1993","PG-13","12 Feb 1993","102 min","Drama, Romance","Tony Bill","Tom Sierchio","Christian Slater, Marisa Tomei, Rosie Perez, Kyle Secor","A waitress hardly notices a shy busboy who secretly loves her; until one night she's attacked and he comes to her rescue. From there a relationship sparks but one secret could mean disaster for these fated lovers.","English","USA","2 wins & 1 nomination.","https://m.media-amazon.com/images/M/MV5BODY5MTQ0ZDctMjI0YS00ZjNmLTg4YzUtZWRlYTlkMGY3MTYxXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg","Internet Movie Database","6.8/10","N/A","6.8","12,521","tt0108451","movie","N/A","N/A","Metro-Goldwyn-Mayer","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","54%","","","","","","","","","","","",""
"435","Love Can Seriously Damage Your Health","1996","N/A","10 Jan 1997","117 min","Comedy, Romance","Manuel Gómez Pereira","Yolanda García Serrano, Manuel Gómez Pereira, Juan Luis Iborra, Joaquín Oristrell","Ana Belén, Juanjo Puigcorbé, Gabino Diego, Penélope Cruz","Two young people meet in the 60's as a result of their devotion to John Lennon, and have a recurring relationship during the next thirty years at the oddest of moments, in the most diverse ...","Spanish","Spain, France","2 wins.","https://m.media-amazon.com/images/M/MV5BY2EwMGZkNWYtM2Y4MC00ZTAyLWFkYmMtMzc0NGQxNWRhZjhjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg","Internet Movie Database","6.7/10","N/A","6.7","1,493","tt0115536","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","71%","","","","","","","","","","","",""
"436","Girls Just Want to Have Fun","1985","PG","12 Apr 1985","90 min","Comedy, Music, Romance","Alan Metter","Amy Spies","Biff Yeager, Kristi Somers, Richard Blade, Ian Michael Giatti","Janey is new in town and soon meets Lynne, who shares her passion for dancing in general and ""Dance TV"" in particular.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BNDRkMDU5YTctYTI2OS00YjBhLTk2MmItMjJiMWM2NjkwYmJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","6.0/10","56","6.0","9,683","tt0089208","movie","N/A","N/A","New World Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","38%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","56/100","","","","","","","","","","","",""
"438","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"439","Town Without Pity","1961","Approved","01 Mar 1961","105 min","Crime, Drama","Gottfried Reinhardt","Manfred Gregor (novel), George Hurdalek (screenplay), Jan Lustig (adaptation), Silvia Reinhardt (screenplay)","Kirk Douglas, Barbara Rütting, Christine Kaufmann, E.G. Marshall","Four American soldiers stationed near a German village face death in the rape of a local girl, and are defended by outside counsel Major Steve Garrett.","English, German","Switzerland, West Germany, USA","Nominated for 1 Oscar. Another 2 wins & 1 nomination.","https://m.media-amazon.com/images/M/MV5BMjI3NzEzMDI0NF5BMl5BanBnXkFtZTcwOTcyMTM4NA@@._V1_SX300.jpg","Internet Movie Database","7.2/10","N/A","7.2","1,530","tt0055539","movie","N/A","N/A","The Mirisch Corporation [us], Gloria Film","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","60%","","","","","","","","","","","",""
"440","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"442","Mississippi Burning","1988","R","27 Jan 1989","128 min","Crime, Drama, History, Mystery, Thriller","Alan Parker","Chris Gerolmo","Gene Hackman, Willem Dafoe, Frances McDormand, Brad Dourif","Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.","English","USA","Won 1 Oscar. Another 16 wins & 24 nominations.","https://m.media-amazon.com/images/M/MV5BZTFjNjU4OTktYzljMS00MmFlLWI3NGEtNjNhMTYwYzUyZDgyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","Internet Movie Database","7.8/10","65","7.8","86,583","tt0095647","movie","N/A","N/A","Orion Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","84%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","65/100","","","","","","","","","","","",""
"443","Rabbit-Proof Fence","2002","PG","31 Jan 2003","94 min","Adventure, Biography, Drama, History","Phillip Noyce","Doris Pilkington (book), Christine Olsen (screenplay)","Everlyn Sampi, Tianna Sansbury, Laura Monaghan, David Gulpilil","In 1931, three half-white, half-Aboriginal girls escape after being plucked from their houses to be trained as domestic staff, and set off on a journey across the Outback.","English, Aboriginal","Australia","Nominated for 1 Golden Globe. Another 23 wins & 24 nominations.","https://m.media-amazon.com/images/M/MV5BZGZkY2QzOGItZDFiYy00MWI1LWFmMTctNzNjZDMzMDk5M2Y2XkEyXkFqcGdeQXVyNjU1MTEwMjI@._V1_SX300.jpg","Internet Movie Database","7.4/10","80","7.4","27,188","tt0252444","movie","N/A","N/A","Olsen Levy Productions, Australian Film Finance Corporation, Showtime Australia, Rumbalara Films","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","87%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","80/100","","","","","","","","","","","",""
"445","Michael Collins","1996","R","25 Oct 1996","133 min","Biography, Drama, Thriller, War","Neil Jordan","Neil Jordan","Ian Hart, Julia Roberts, Richard Ingram, Liam Neeson","Neil Jordan's historical biopic of Irish revolutionary Michael Collins, the man who led a guerrilla war against the UK, helped negotiate the creation of the Irish Free State, and led the National Army during the Irish Civil War.","English","UK, Ireland, USA","Nominated for 2 Oscars. Another 4 wins & 15 nominations.","https://m.media-amazon.com/images/M/MV5BZjE5NGFmMGYtNmU1MC00ZWQxLWIzMzEtZjgzZjljMWNmYjE1XkEyXkFqcGdeQXVyNTYzNDI3MzQ@._V1_SX300.jpg","Internet Movie Database","7.2/10","60","7.2","29,098","tt0117039","movie","N/A","N/A","Warner Brothers, Geffen Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","77%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","60/100","","","","","","","","","","","",""
"446","The Underneath","1995","R","28 Apr 1995","99 min","Crime, Thriller","Steven Soderbergh","Don Tracy (novel), Steven Soderbergh (screenplay), Daniel Fuchs (screenplay)","Peter Gallagher, Alison Elliott, William Fichtner, Adam Trese","A recovering gambling addict attempts to reconcile with his family and friends but finds trouble and temptation when caught between feelings for his ex-wife and her dangerous hoodlum boyfriend.","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BMThkNTIwZjItMjg2Ni00MGRiLWIxYTgtOThhODE2ZGNlZTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","6.1/10","69","6.1","3,110","tt0114788","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","59%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","69/100","","","","","","","","","","","",""
"449","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"450","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"452","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"453","Simple Men","1992","R","06 Nov 1992","105 min","Crime, Drama, Romance","Hal Hartley","Hal Hartley","Robert John Burke, Bill Sage, Karen Sillas, Elina Löwensohn","Bitter about being double-crossed by the women he loved, (and with the police after him to boot), Bill vows to seduce the next woman he sees, then throw her away. His brother Dennis, ...","English","Italy, UK, USA","2 nominations.","https://m.media-amazon.com/images/M/MV5BMTU5MDg2OTk2M15BMl5BanBnXkFtZTcwMDY3NDQyMQ@@._V1_SX300.jpg","Internet Movie Database","7.2/10","N/A","7.2","3,956","tt0105411","movie","N/A","N/A","True Fiction Pictures, American Playhouse, Fine Line Features, Channel Four Films, Zenith Entertainment","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","91%","","","","","","","","","","","",""
"455","Cardcaptor Sakura: The Movie","1999","Not Rated","01 Jan 2000","80 min","Animation, Adventure, Family, Fantasy, Thriller","Morio Asaka, Terry Klassen","Jennifer Pertsch (English adaptation), Jennifer Pertsch, Nanase Ôkawa (original script), Nanase Ôkawa, Clamp (comic), Clamp (manga)","Sakura Tange, Aya Hisakawa, Junko Iwao, Motoko Kumai","Ten-year old Sakura Avalon, Cardcaptor of the elusive, magical Clow Cards, unexpectedly wins a trip to Hong Kong where strange dreams lead her to an imprisoned sorceress with close connections to the creator of the cards.","Japanese","Japan, USA, Canada","N/A","https://m.media-amazon.com/images/M/MV5BMTAyOTk5NDg3MDleQTJeQWpwZ15BbWU3MDE3OTcyMjE@._V1_SX300.jpg","Internet Movie Database","7.4/10","N/A","7.4","1,336","tt0301082","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","84%","","","","","","","","","","","",""
"457","Kill Bill: Vol. 2","2004","R","16 Apr 2004","137 min","Action, Crime, Thriller","Quentin Tarantino","Quentin Tarantino, Quentin Tarantino (character The Bride), Uma Thurman (character The Bride)","Vivica A. Fox, Ambrosia Kelley, Michael Parks, James Parks","The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","English, Cantonese, Mandarin, Spanish","USA","Nominated for 2 Golden Globes. Another 23 wins & 82 nominations.","https://m.media-amazon.com/images/M/MV5BNmFiYmJmN2QtNWQwMi00MzliLThiOWMtZjQxNGRhZTQ1MjgyXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg","Internet Movie Database","8.0/10","83","8.0","670,160","tt0378194","movie","N/A","N/A","Miramax Films, Super Cool ManChu, A Band Apart","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","84%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","83/100","","","","","","","","","","","",""
"459","Basquiat","1996","R","09 Aug 1996","107 min","Biography, Drama","Julian Schnabel","Lech Majewski (story), John Bowe (short story), Julian Schnabel, Michael Holman (story development)","Jeffrey Wright, Michael Wincott, Benicio Del Toro, Claire Forlani","The brief life of Jean Michel Basquiat, a world renowned New York street artist struggling with fame, drugs and his identity.","English, Spanish","USA","2 wins & 3 nominations.","https://m.media-amazon.com/images/M/MV5BMTk3NTk3MzU5N15BMl5BanBnXkFtZTgwNjIwMDcyMTI@._V1_SX300.jpg","Internet Movie Database","6.9/10","65","6.9","19,266","tt0115632","movie","11 Oct 2005","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Metacritic","65/100","","","","","","","","","","","",""
"460","Pink Narcissus","1971","Not Rated","13 Mar 1993","65 min","Drama, Fantasy","James Bidgood","James Bidgood","Don Brooks, Bobby Kendall","An erotic poem set in the fantasies of a young male prostitute.","None","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTM4NzE5ODIxMF5BMl5BanBnXkFtZTcwMjk5ODAyMQ@@._V1_SX300.jpg","Internet Movie Database","6.8/10","N/A","6.8","1,171","tt0067580","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","77%","","","","","","","","","","","",""
"465","Coolie No. 1","1995","Not Rated","30 Jun 1995","143 min","Comedy","David Dhawan","Rumi Jaffery (screenplay), Kader Khan (dialogue)","Govinda, Karisma Kapoor, Harish, Kanchan","In order to avenge his insult against wealthy Hoshiarchand Choudhary; Pandit Shaadiram Gharjodhe asks Raju; a coolie by profession to masquerade as a wealthy business tycoon so that he can get marry to Choudhary's daughter Malti.","Hindi","India","2 nominations.","https://m.media-amazon.com/images/M/MV5BMjY3ZTUzZmUtZDRmMi00NjcxLTgwNTItZjA3YmNlZjAxODVmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg","Internet Movie Database","6.2/10","N/A","6.2","2,407","tt0101616","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","61%","","","","","","","","","","","",""
"466","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"467","Topper Returns","1941","Approved","21 Mar 1941","88 min","Comedy, Fantasy, Mystery, Romance","Roy Del Ruth","Thorne Smith (based on: the fictional characters conceived by the late), Jonathan Latimer (original screenplay), Gordon Douglas (original screenplay), Paul Gerard Smith (additional dialogue)","Joan Blondell, Roland Young, Carole Landis, Billie Burke","A fun-loving young woman is murdered after trading bedrooms with her wealthy friend. Her ghost seeks aid from Topper to find the murderer.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTc1ODQ0YzYtOTM2Yi00ZTNlLWIxMWMtZjU2NDA3YjY1MzgxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","Internet Movie Database","6.9/10","N/A","6.9","2,573","tt0034303","movie","N/A","N/A","Hal Roach Studios Inc.","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","89%","","","","","","","","","","","",""
"468","The Matrix Revolutions","2003","R","05 Nov 2003","129 min","Action, Sci-Fi","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski, Lilly Wachowski (characters), Lana Wachowski (characters)","Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan","The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.","English, French","USA","5 wins & 36 nominations.","https://m.media-amazon.com/images/M/MV5BNzNlZTZjMDctZjYwNi00NzljLWIwN2QtZWZmYmJiYzQ0MTk2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","Internet Movie Database","6.8/10","47","6.8","441,440","tt0242653","movie","N/A","N/A","Village Roadshow Prod.","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","35%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","47/100","","","","","","","","","","","",""
"470","Beneath Loch Ness","2001","PG-13","06 Jul 2001","96 min","Action, Horror, Thriller","Chuck Comisky","Shane Bitterling (screenplay), Shane Bitterling (story), Chuck Comisky (story), Justin Stanley (screenplay), Justin Stanley (story)","Patrick Bergin, Lysette Anthony, Brian Wimmer, Lysa Apostle","The legendary Loch Ness Monster, terrorizes a lake in Scotland and Patrick Bergin comes out to kill it.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMjAzNzc5NzMwM15BMl5BanBnXkFtZTcwNTgyMzIyMQ@@._V1_SX300.jpg","Internet Movie Database","3.2/10","N/A","3.2","1,095","tt0256155","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","10%","","","","","","","","","","","",""
"471","City Lights","1931","G","07 Mar 1931","87 min","Comedy, Drama, Romance","Charles Chaplin","Charles Chaplin","Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","None, English","USA","3 wins.","https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg","Internet Movie Database","8.5/10","99","8.5","163,321","tt0021749","movie","N/A","N/A","Charles Chaplin Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","98%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","99/100","","","","","","","","","","","",""
"472","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"473","Princess Mononoke","1997","PG-13","19 Dec 1997","134 min","Animation, Adventure, Fantasy","Hayao Miyazaki","Hayao Miyazaki, Neil Gaiman (adapted by: English version)","Billy Crudup, Billy Bob Thornton, Minnie Driver, John DiMaggio","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Japanese","Japan","13 wins & 6 nominations.","https://m.media-amazon.com/images/M/MV5BNGIzY2IzODQtNThmMi00ZDE4LWI5YzAtNzNlZTM1ZjYyYjUyXkEyXkFqcGdeQXVyODEzNjM5OTQ@._V1_SX300.jpg","Internet Movie Database","8.4/10","76","8.4","334,709","tt0119698","movie","N/A","N/A","Nippon Herald Films, Studio Ghibli, Dentsu","N/A","True","",""
